XCoord,YCoord,XCOORD,YCOORD,ID500M
4471750.00000000,3581250.00000000,4471750.000000,3581250.000000,500mE44715N35810
4472250.00000000,3581250.00000000,4472250.000000,3581250.000000,500mE44720N35810
4472750.00000000,3581250.00000000,4472750.000000,3581250.000000,500mE44725N35810
4473250.00000000,3581250.00000000,4473250.000000,3581250.000000,500mE44730N35810
4473750.00000000,3581250.00000000,4473750.000000,3581250.000000,500mE44735N35810
4474250.00000000,3581250.00000000,4474250.000000,3581250.000000,500mE44740N35810
4474750.00000000,3581250.00000000,4474750.000000,3581250.000000,500mE44745N35810
4475250.00000000,3581250.00000000,4475250.000000,3581250.000000,500mE44750N35810
4475750.00000000,3581250.00000000,4475750.000000,3581250.000000,500mE44755N35810
4470750.00000000,3581750.00000000,4470750.000000,3581750.000000,500mE44705N35815
4471250.00000000,3581750.00000000,4471250.000000,3581750.000000,500mE44710N35815
4471750.00000000,3581750.00000000,4471750.000000,3581750.000000,500mE44715N35815
4472250.00000000,3581750.00000000,4472250.000000,3581750.000000,500mE44720N35815
4472750.00000000,3581750.00000000,4472750.000000,3581750.000000,500mE44725N35815
4473250.00000000,3581750.00000000,4473250.000000,3581750.000000,500mE44730N35815
4473750.00000000,3581750.00000000,4473750.000000,3581750.000000,500mE44735N35815
4474250.00000000,3581750.00000000,4474250.000000,3581750.000000,500mE44740N35815
4474750.00000000,3581750.00000000,4474750.000000,3581750.000000,500mE44745N35815
4475250.00000000,3581750.00000000,4475250.000000,3581750.000000,500mE44750N35815
4475750.00000000,3581750.00000000,4475750.000000,3581750.000000,500mE44755N35815
4470750.00000000,3582250.00000000,4470750.000000,3582250.000000,500mE44705N35820
4471250.00000000,3582250.00000000,4471250.000000,3582250.000000,500mE44710N35820
4471750.00000000,3582250.00000000,4471750.000000,3582250.000000,500mE44715N35820
4472250.00000000,3582250.00000000,4472250.000000,3582250.000000,500mE44720N35820
4472750.00000000,3582250.00000000,4472750.000000,3582250.000000,500mE44725N35820
4473250.00000000,3582250.00000000,4473250.000000,3582250.000000,500mE44730N35820
4473750.00000000,3582250.00000000,4473750.000000,3582250.000000,500mE44735N35820
4474250.00000000,3582250.00000000,4474250.000000,3582250.000000,500mE44740N35820
4474750.00000000,3582250.00000000,4474750.000000,3582250.000000,500mE44745N35820
4475250.00000000,3582250.00000000,4475250.000000,3582250.000000,500mE44750N35820
4475750.00000000,3582250.00000000,4475750.000000,3582250.000000,500mE44755N35820
4476250.00000000,3582250.00000000,4476250.000000,3582250.000000,500mE44760N35820
4469750.00000000,3582750.00000000,4469750.000000,3582750.000000,500mE44695N35825
4470250.00000000,3582750.00000000,4470250.000000,3582750.000000,500mE44700N35825
4470750.00000000,3582750.00000000,4470750.000000,3582750.000000,500mE44705N35825
4471250.00000000,3582750.00000000,4471250.000000,3582750.000000,500mE44710N35825
4471750.00000000,3582750.00000000,4471750.000000,3582750.000000,500mE44715N35825
4472250.00000000,3582750.00000000,4472250.000000,3582750.000000,500mE44720N35825
4472750.00000000,3582750.00000000,4472750.000000,3582750.000000,500mE44725N35825
4473250.00000000,3582750.00000000,4473250.000000,3582750.000000,500mE44730N35825
4473750.00000000,3582750.00000000,4473750.000000,3582750.000000,500mE44735N35825
4474250.00000000,3582750.00000000,4474250.000000,3582750.000000,500mE44740N35825
4474750.00000000,3582750.00000000,4474750.000000,3582750.000000,500mE44745N35825
4475250.00000000,3582750.00000000,4475250.000000,3582750.000000,500mE44750N35825
4475750.00000000,3582750.00000000,4475750.000000,3582750.000000,500mE44755N35825
4476250.00000000,3582750.00000000,4476250.000000,3582750.000000,500mE44760N35825
4469750.00000000,3583250.00000000,4469750.000000,3583250.000000,500mE44695N35830
4470250.00000000,3583250.00000000,4470250.000000,3583250.000000,500mE44700N35830
4470750.00000000,3583250.00000000,4470750.000000,3583250.000000,500mE44705N35830
4471250.00000000,3583250.00000000,4471250.000000,3583250.000000,500mE44710N35830
4471750.00000000,3583250.00000000,4471750.000000,3583250.000000,500mE44715N35830
4472250.00000000,3583250.00000000,4472250.000000,3583250.000000,500mE44720N35830
4472750.00000000,3583250.00000000,4472750.000000,3583250.000000,500mE44725N35830
4473250.00000000,3583250.00000000,4473250.000000,3583250.000000,500mE44730N35830
4473750.00000000,3583250.00000000,4473750.000000,3583250.000000,500mE44735N35830
4474250.00000000,3583250.00000000,4474250.000000,3583250.000000,500mE44740N35830
4474750.00000000,3583250.00000000,4474750.000000,3583250.000000,500mE44745N35830
4475250.00000000,3583250.00000000,4475250.000000,3583250.000000,500mE44750N35830
4475750.00000000,3583250.00000000,4475750.000000,3583250.000000,500mE44755N35830
4476250.00000000,3583250.00000000,4476250.000000,3583250.000000,500mE44760N35830
4468750.00000000,3583750.00000000,4468750.000000,3583750.000000,500mE44685N35835
4469250.00000000,3583750.00000000,4469250.000000,3583750.000000,500mE44690N35835
4469750.00000000,3583750.00000000,4469750.000000,3583750.000000,500mE44695N35835
4470250.00000000,3583750.00000000,4470250.000000,3583750.000000,500mE44700N35835
4470750.00000000,3583750.00000000,4470750.000000,3583750.000000,500mE44705N35835
4471250.00000000,3583750.00000000,4471250.000000,3583750.000000,500mE44710N35835
4471750.00000000,3583750.00000000,4471750.000000,3583750.000000,500mE44715N35835
4472250.00000000,3583750.00000000,4472250.000000,3583750.000000,500mE44720N35835
4472750.00000000,3583750.00000000,4472750.000000,3583750.000000,500mE44725N35835
4473250.00000000,3583750.00000000,4473250.000000,3583750.000000,500mE44730N35835
4473750.00000000,3583750.00000000,4473750.000000,3583750.000000,500mE44735N35835
4474250.00000000,3583750.00000000,4474250.000000,3583750.000000,500mE44740N35835
4474750.00000000,3583750.00000000,4474750.000000,3583750.000000,500mE44745N35835
4475250.00000000,3583750.00000000,4475250.000000,3583750.000000,500mE44750N35835
4475750.00000000,3583750.00000000,4475750.000000,3583750.000000,500mE44755N35835
4476250.00000000,3583750.00000000,4476250.000000,3583750.000000,500mE44760N35835
4468750.00000000,3584250.00000000,4468750.000000,3584250.000000,500mE44685N35840
4469250.00000000,3584250.00000000,4469250.000000,3584250.000000,500mE44690N35840
4469750.00000000,3584250.00000000,4469750.000000,3584250.000000,500mE44695N35840
4470250.00000000,3584250.00000000,4470250.000000,3584250.000000,500mE44700N35840
4470750.00000000,3584250.00000000,4470750.000000,3584250.000000,500mE44705N35840
4471250.00000000,3584250.00000000,4471250.000000,3584250.000000,500mE44710N35840
4471750.00000000,3584250.00000000,4471750.000000,3584250.000000,500mE44715N35840
4472250.00000000,3584250.00000000,4472250.000000,3584250.000000,500mE44720N35840
4472750.00000000,3584250.00000000,4472750.000000,3584250.000000,500mE44725N35840
4473250.00000000,3584250.00000000,4473250.000000,3584250.000000,500mE44730N35840
4473750.00000000,3584250.00000000,4473750.000000,3584250.000000,500mE44735N35840
4474250.00000000,3584250.00000000,4474250.000000,3584250.000000,500mE44740N35840
4474750.00000000,3584250.00000000,4474750.000000,3584250.000000,500mE44745N35840
4475250.00000000,3584250.00000000,4475250.000000,3584250.000000,500mE44750N35840
4475750.00000000,3584250.00000000,4475750.000000,3584250.000000,500mE44755N35840
4466750.00000000,3584750.00000000,4466750.000000,3584750.000000,500mE44665N35845
4467250.00000000,3584750.00000000,4467250.000000,3584750.000000,500mE44670N35845
4467750.00000000,3584750.00000000,4467750.000000,3584750.000000,500mE44675N35845
4468250.00000000,3584750.00000000,4468250.000000,3584750.000000,500mE44680N35845
4468750.00000000,3584750.00000000,4468750.000000,3584750.000000,500mE44685N35845
4469250.00000000,3584750.00000000,4469250.000000,3584750.000000,500mE44690N35845
4469750.00000000,3584750.00000000,4469750.000000,3584750.000000,500mE44695N35845
4470250.00000000,3584750.00000000,4470250.000000,3584750.000000,500mE44700N35845
4470750.00000000,3584750.00000000,4470750.000000,3584750.000000,500mE44705N35845
4471250.00000000,3584750.00000000,4471250.000000,3584750.000000,500mE44710N35845
4471750.00000000,3584750.00000000,4471750.000000,3584750.000000,500mE44715N35845
4472250.00000000,3584750.00000000,4472250.000000,3584750.000000,500mE44720N35845
4472750.00000000,3584750.00000000,4472750.000000,3584750.000000,500mE44725N35845
4473250.00000000,3584750.00000000,4473250.000000,3584750.000000,500mE44730N35845
4473750.00000000,3584750.00000000,4473750.000000,3584750.000000,500mE44735N35845
4474250.00000000,3584750.00000000,4474250.000000,3584750.000000,500mE44740N35845
4474750.00000000,3584750.00000000,4474750.000000,3584750.000000,500mE44745N35845
4475250.00000000,3584750.00000000,4475250.000000,3584750.000000,500mE44750N35845
4475750.00000000,3584750.00000000,4475750.000000,3584750.000000,500mE44755N35845
4466750.00000000,3585250.00000000,4466750.000000,3585250.000000,500mE44665N35850
4467250.00000000,3585250.00000000,4467250.000000,3585250.000000,500mE44670N35850
4467750.00000000,3585250.00000000,4467750.000000,3585250.000000,500mE44675N35850
4468250.00000000,3585250.00000000,4468250.000000,3585250.000000,500mE44680N35850
4468750.00000000,3585250.00000000,4468750.000000,3585250.000000,500mE44685N35850
4469250.00000000,3585250.00000000,4469250.000000,3585250.000000,500mE44690N35850
4469750.00000000,3585250.00000000,4469750.000000,3585250.000000,500mE44695N35850
4470250.00000000,3585250.00000000,4470250.000000,3585250.000000,500mE44700N35850
4470750.00000000,3585250.00000000,4470750.000000,3585250.000000,500mE44705N35850
4471250.00000000,3585250.00000000,4471250.000000,3585250.000000,500mE44710N35850
4471750.00000000,3585250.00000000,4471750.000000,3585250.000000,500mE44715N35850
4472250.00000000,3585250.00000000,4472250.000000,3585250.000000,500mE44720N35850
4472750.00000000,3585250.00000000,4472750.000000,3585250.000000,500mE44725N35850
4473250.00000000,3585250.00000000,4473250.000000,3585250.000000,500mE44730N35850
4473750.00000000,3585250.00000000,4473750.000000,3585250.000000,500mE44735N35850
4474250.00000000,3585250.00000000,4474250.000000,3585250.000000,500mE44740N35850
4474750.00000000,3585250.00000000,4474750.000000,3585250.000000,500mE44745N35850
4475250.00000000,3585250.00000000,4475250.000000,3585250.000000,500mE44750N35850
4475750.00000000,3585250.00000000,4475750.000000,3585250.000000,500mE44755N35850
4465750.00000000,3585750.00000000,4465750.000000,3585750.000000,500mE44655N35855
4466250.00000000,3585750.00000000,4466250.000000,3585750.000000,500mE44660N35855
4466750.00000000,3585750.00000000,4466750.000000,3585750.000000,500mE44665N35855
4467250.00000000,3585750.00000000,4467250.000000,3585750.000000,500mE44670N35855
4467750.00000000,3585750.00000000,4467750.000000,3585750.000000,500mE44675N35855
4468250.00000000,3585750.00000000,4468250.000000,3585750.000000,500mE44680N35855
4468750.00000000,3585750.00000000,4468750.000000,3585750.000000,500mE44685N35855
4469250.00000000,3585750.00000000,4469250.000000,3585750.000000,500mE44690N35855
4469750.00000000,3585750.00000000,4469750.000000,3585750.000000,500mE44695N35855
4470250.00000000,3585750.00000000,4470250.000000,3585750.000000,500mE44700N35855
4470750.00000000,3585750.00000000,4470750.000000,3585750.000000,500mE44705N35855
4471250.00000000,3585750.00000000,4471250.000000,3585750.000000,500mE44710N35855
4471750.00000000,3585750.00000000,4471750.000000,3585750.000000,500mE44715N35855
4472250.00000000,3585750.00000000,4472250.000000,3585750.000000,500mE44720N35855
4472750.00000000,3585750.00000000,4472750.000000,3585750.000000,500mE44725N35855
4473250.00000000,3585750.00000000,4473250.000000,3585750.000000,500mE44730N35855
4473750.00000000,3585750.00000000,4473750.000000,3585750.000000,500mE44735N35855
4474250.00000000,3585750.00000000,4474250.000000,3585750.000000,500mE44740N35855
4474750.00000000,3585750.00000000,4474750.000000,3585750.000000,500mE44745N35855
4475250.00000000,3585750.00000000,4475250.000000,3585750.000000,500mE44750N35855
4465750.00000000,3586250.00000000,4465750.000000,3586250.000000,500mE44655N35860
4466250.00000000,3586250.00000000,4466250.000000,3586250.000000,500mE44660N35860
4466750.00000000,3586250.00000000,4466750.000000,3586250.000000,500mE44665N35860
4467250.00000000,3586250.00000000,4467250.000000,3586250.000000,500mE44670N35860
4467750.00000000,3586250.00000000,4467750.000000,3586250.000000,500mE44675N35860
4468250.00000000,3586250.00000000,4468250.000000,3586250.000000,500mE44680N35860
4468750.00000000,3586250.00000000,4468750.000000,3586250.000000,500mE44685N35860
4469250.00000000,3586250.00000000,4469250.000000,3586250.000000,500mE44690N35860
4469750.00000000,3586250.00000000,4469750.000000,3586250.000000,500mE44695N35860
4470250.00000000,3586250.00000000,4470250.000000,3586250.000000,500mE44700N35860
4470750.00000000,3586250.00000000,4470750.000000,3586250.000000,500mE44705N35860
4471250.00000000,3586250.00000000,4471250.000000,3586250.000000,500mE44710N35860
4471750.00000000,3586250.00000000,4471750.000000,3586250.000000,500mE44715N35860
4472250.00000000,3586250.00000000,4472250.000000,3586250.000000,500mE44720N35860
4472750.00000000,3586250.00000000,4472750.000000,3586250.000000,500mE44725N35860
4473250.00000000,3586250.00000000,4473250.000000,3586250.000000,500mE44730N35860
4473750.00000000,3586250.00000000,4473750.000000,3586250.000000,500mE44735N35860
4474250.00000000,3586250.00000000,4474250.000000,3586250.000000,500mE44740N35860
4474750.00000000,3586250.00000000,4474750.000000,3586250.000000,500mE44745N35860
4464750.00000000,3586750.00000000,4464750.000000,3586750.000000,500mE44645N35865
4465250.00000000,3586750.00000000,4465250.000000,3586750.000000,500mE44650N35865
4465750.00000000,3586750.00000000,4465750.000000,3586750.000000,500mE44655N35865
4466250.00000000,3586750.00000000,4466250.000000,3586750.000000,500mE44660N35865
4466750.00000000,3586750.00000000,4466750.000000,3586750.000000,500mE44665N35865
4467250.00000000,3586750.00000000,4467250.000000,3586750.000000,500mE44670N35865
4467750.00000000,3586750.00000000,4467750.000000,3586750.000000,500mE44675N35865
4468250.00000000,3586750.00000000,4468250.000000,3586750.000000,500mE44680N35865
4468750.00000000,3586750.00000000,4468750.000000,3586750.000000,500mE44685N35865
4469250.00000000,3586750.00000000,4469250.000000,3586750.000000,500mE44690N35865
4469750.00000000,3586750.00000000,4469750.000000,3586750.000000,500mE44695N35865
4470250.00000000,3586750.00000000,4470250.000000,3586750.000000,500mE44700N35865
4470750.00000000,3586750.00000000,4470750.000000,3586750.000000,500mE44705N35865
4471250.00000000,3586750.00000000,4471250.000000,3586750.000000,500mE44710N35865
4471750.00000000,3586750.00000000,4471750.000000,3586750.000000,500mE44715N35865
4472250.00000000,3586750.00000000,4472250.000000,3586750.000000,500mE44720N35865
4472750.00000000,3586750.00000000,4472750.000000,3586750.000000,500mE44725N35865
4473250.00000000,3586750.00000000,4473250.000000,3586750.000000,500mE44730N35865
4473750.00000000,3586750.00000000,4473750.000000,3586750.000000,500mE44735N35865
4474250.00000000,3586750.00000000,4474250.000000,3586750.000000,500mE44740N35865
4464750.00000000,3587250.00000000,4464750.000000,3587250.000000,500mE44645N35870
4465250.00000000,3587250.00000000,4465250.000000,3587250.000000,500mE44650N35870
4465750.00000000,3587250.00000000,4465750.000000,3587250.000000,500mE44655N35870
4466250.00000000,3587250.00000000,4466250.000000,3587250.000000,500mE44660N35870
4466750.00000000,3587250.00000000,4466750.000000,3587250.000000,500mE44665N35870
4467250.00000000,3587250.00000000,4467250.000000,3587250.000000,500mE44670N35870
4467750.00000000,3587250.00000000,4467750.000000,3587250.000000,500mE44675N35870
4468250.00000000,3587250.00000000,4468250.000000,3587250.000000,500mE44680N35870
4468750.00000000,3587250.00000000,4468750.000000,3587250.000000,500mE44685N35870
4469250.00000000,3587250.00000000,4469250.000000,3587250.000000,500mE44690N35870
4469750.00000000,3587250.00000000,4469750.000000,3587250.000000,500mE44695N35870
4470250.00000000,3587250.00000000,4470250.000000,3587250.000000,500mE44700N35870
4470750.00000000,3587250.00000000,4470750.000000,3587250.000000,500mE44705N35870
4471250.00000000,3587250.00000000,4471250.000000,3587250.000000,500mE44710N35870
4471750.00000000,3587250.00000000,4471750.000000,3587250.000000,500mE44715N35870
4472250.00000000,3587250.00000000,4472250.000000,3587250.000000,500mE44720N35870
4472750.00000000,3587250.00000000,4472750.000000,3587250.000000,500mE44725N35870
4473250.00000000,3587250.00000000,4473250.000000,3587250.000000,500mE44730N35870
4473750.00000000,3587250.00000000,4473750.000000,3587250.000000,500mE44735N35870
4463750.00000000,3587750.00000000,4463750.000000,3587750.000000,500mE44635N35875
4464250.00000000,3587750.00000000,4464250.000000,3587750.000000,500mE44640N35875
4464750.00000000,3587750.00000000,4464750.000000,3587750.000000,500mE44645N35875
4465250.00000000,3587750.00000000,4465250.000000,3587750.000000,500mE44650N35875
4465750.00000000,3587750.00000000,4465750.000000,3587750.000000,500mE44655N35875
4466250.00000000,3587750.00000000,4466250.000000,3587750.000000,500mE44660N35875
4466750.00000000,3587750.00000000,4466750.000000,3587750.000000,500mE44665N35875
4467250.00000000,3587750.00000000,4467250.000000,3587750.000000,500mE44670N35875
4467750.00000000,3587750.00000000,4467750.000000,3587750.000000,500mE44675N35875
4468250.00000000,3587750.00000000,4468250.000000,3587750.000000,500mE44680N35875
4468750.00000000,3587750.00000000,4468750.000000,3587750.000000,500mE44685N35875
4469250.00000000,3587750.00000000,4469250.000000,3587750.000000,500mE44690N35875
4469750.00000000,3587750.00000000,4469750.000000,3587750.000000,500mE44695N35875
4470250.00000000,3587750.00000000,4470250.000000,3587750.000000,500mE44700N35875
4470750.00000000,3587750.00000000,4470750.000000,3587750.000000,500mE44705N35875
4471250.00000000,3587750.00000000,4471250.000000,3587750.000000,500mE44710N35875
4471750.00000000,3587750.00000000,4471750.000000,3587750.000000,500mE44715N35875
4472250.00000000,3587750.00000000,4472250.000000,3587750.000000,500mE44720N35875
4472750.00000000,3587750.00000000,4472750.000000,3587750.000000,500mE44725N35875
4473250.00000000,3587750.00000000,4473250.000000,3587750.000000,500mE44730N35875
4463750.00000000,3588250.00000000,4463750.000000,3588250.000000,500mE44635N35880
4464250.00000000,3588250.00000000,4464250.000000,3588250.000000,500mE44640N35880
4464750.00000000,3588250.00000000,4464750.000000,3588250.000000,500mE44645N35880
4465250.00000000,3588250.00000000,4465250.000000,3588250.000000,500mE44650N35880
4465750.00000000,3588250.00000000,4465750.000000,3588250.000000,500mE44655N35880
4466250.00000000,3588250.00000000,4466250.000000,3588250.000000,500mE44660N35880
4466750.00000000,3588250.00000000,4466750.000000,3588250.000000,500mE44665N35880
4467250.00000000,3588250.00000000,4467250.000000,3588250.000000,500mE44670N35880
4467750.00000000,3588250.00000000,4467750.000000,3588250.000000,500mE44675N35880
4468250.00000000,3588250.00000000,4468250.000000,3588250.000000,500mE44680N35880
4468750.00000000,3588250.00000000,4468750.000000,3588250.000000,500mE44685N35880
4469250.00000000,3588250.00000000,4469250.000000,3588250.000000,500mE44690N35880
4469750.00000000,3588250.00000000,4469750.000000,3588250.000000,500mE44695N35880
4470250.00000000,3588250.00000000,4470250.000000,3588250.000000,500mE44700N35880
4470750.00000000,3588250.00000000,4470750.000000,3588250.000000,500mE44705N35880
4471250.00000000,3588250.00000000,4471250.000000,3588250.000000,500mE44710N35880
4471750.00000000,3588250.00000000,4471750.000000,3588250.000000,500mE44715N35880
4472250.00000000,3588250.00000000,4472250.000000,3588250.000000,500mE44720N35880
4472750.00000000,3588250.00000000,4472750.000000,3588250.000000,500mE44725N35880
4461750.00000000,3588750.00000000,4461750.000000,3588750.000000,500mE44615N35885
4462250.00000000,3588750.00000000,4462250.000000,3588750.000000,500mE44620N35885
4462750.00000000,3588750.00000000,4462750.000000,3588750.000000,500mE44625N35885
4463250.00000000,3588750.00000000,4463250.000000,3588750.000000,500mE44630N35885
4463750.00000000,3588750.00000000,4463750.000000,3588750.000000,500mE44635N35885
4464250.00000000,3588750.00000000,4464250.000000,3588750.000000,500mE44640N35885
4464750.00000000,3588750.00000000,4464750.000000,3588750.000000,500mE44645N35885
4465250.00000000,3588750.00000000,4465250.000000,3588750.000000,500mE44650N35885
4465750.00000000,3588750.00000000,4465750.000000,3588750.000000,500mE44655N35885
4466250.00000000,3588750.00000000,4466250.000000,3588750.000000,500mE44660N35885
4466750.00000000,3588750.00000000,4466750.000000,3588750.000000,500mE44665N35885
4467250.00000000,3588750.00000000,4467250.000000,3588750.000000,500mE44670N35885
4467750.00000000,3588750.00000000,4467750.000000,3588750.000000,500mE44675N35885
4468250.00000000,3588750.00000000,4468250.000000,3588750.000000,500mE44680N35885
4468750.00000000,3588750.00000000,4468750.000000,3588750.000000,500mE44685N35885
4469250.00000000,3588750.00000000,4469250.000000,3588750.000000,500mE44690N35885
4469750.00000000,3588750.00000000,4469750.000000,3588750.000000,500mE44695N35885
4470250.00000000,3588750.00000000,4470250.000000,3588750.000000,500mE44700N35885
4470750.00000000,3588750.00000000,4470750.000000,3588750.000000,500mE44705N35885
4471250.00000000,3588750.00000000,4471250.000000,3588750.000000,500mE44710N35885
4471750.00000000,3588750.00000000,4471750.000000,3588750.000000,500mE44715N35885
4472250.00000000,3588750.00000000,4472250.000000,3588750.000000,500mE44720N35885
4461750.00000000,3589250.00000000,4461750.000000,3589250.000000,500mE44615N35890
4462250.00000000,3589250.00000000,4462250.000000,3589250.000000,500mE44620N35890
4462750.00000000,3589250.00000000,4462750.000000,3589250.000000,500mE44625N35890
4463250.00000000,3589250.00000000,4463250.000000,3589250.000000,500mE44630N35890
4463750.00000000,3589250.00000000,4463750.000000,3589250.000000,500mE44635N35890
4464250.00000000,3589250.00000000,4464250.000000,3589250.000000,500mE44640N35890
4464750.00000000,3589250.00000000,4464750.000000,3589250.000000,500mE44645N35890
4465250.00000000,3589250.00000000,4465250.000000,3589250.000000,500mE44650N35890
