XCoord,YCoord,ID500M
4470750.00000000,3581750.00000000,500mE44705N35815
4471250.00000000,3581750.00000000,500mE44710N35815
4471750.00000000,3581750.00000000,500mE44715N35815
4472250.00000000,3581750.00000000,500mE44720N35815
4472750.00000000,3581750.00000000,500mE44725N35815
4473250.00000000,3581750.00000000,500mE44730N35815
4473750.00000000,3581750.00000000,500mE44735N35815
4474250.00000000,3581750.00000000,500mE44740N35815
4474750.00000000,3581750.00000000,500mE44745N35815
4475250.00000000,3581750.00000000,500mE44750N35815
4475750.00000000,3581750.00000000,500mE44755N35815
4476250.00000000,3581750.00000000,500mE44760N35815
4476750.00000000,3581750.00000000,500mE44765N35815
4477250.00000000,3581750.00000000,500mE44770N35815
4477750.00000000,3581750.00000000,500mE44775N35815
4478250.00000000,3581750.00000000,500mE44780N35815
4478750.00000000,3581750.00000000,500mE44785N35815
4479250.00000000,3581750.00000000,500mE44790N35815
4479750.00000000,3581750.00000000,500mE44795N35815
4480250.00000000,3581750.00000000,500mE44800N35815
4480750.00000000,3581750.00000000,500mE44805N35815
4481250.00000000,3581750.00000000,500mE44810N35815
4481750.00000000,3581750.00000000,500mE44815N35815
4482250.00000000,3581750.00000000,500mE44820N35815
4482750.00000000,3581750.00000000,500mE44825N35815
4483250.00000000,3581750.00000000,500mE44830N35815
4483750.00000000,3581750.00000000,500mE44835N35815
4484250.00000000,3581750.00000000,500mE44840N35815
4484750.00000000,3581750.00000000,500mE44845N35815
4485250.00000000,3581750.00000000,500mE44850N35815
4485750.00000000,3581750.00000000,500mE44855N35815
4486250.00000000,3581750.00000000,500mE44860N35815
4470750.00000000,3582250.00000000,500mE44705N35820
4471250.00000000,3582250.00000000,500mE44710N35820
4471750.00000000,3582250.00000000,500mE44715N35820
4472250.00000000,3582250.00000000,500mE44720N35820
4472750.00000000,3582250.00000000,500mE44725N35820
4473250.00000000,3582250.00000000,500mE44730N35820
4473750.00000000,3582250.00000000,500mE44735N35820
4474250.00000000,3582250.00000000,500mE44740N35820
4474750.00000000,3582250.00000000,500mE44745N35820
4475250.00000000,3582250.00000000,500mE44750N35820
4475750.00000000,3582250.00000000,500mE44755N35820
4476250.00000000,3582250.00000000,500mE44760N35820
4476750.00000000,3582250.00000000,500mE44765N35820
4477250.00000000,3582250.00000000,500mE44770N35820
4477750.00000000,3582250.00000000,500mE44775N35820
4478250.00000000,3582250.00000000,500mE44780N35820
4478750.00000000,3582250.00000000,500mE44785N35820
4479250.00000000,3582250.00000000,500mE44790N35820
4479750.00000000,3582250.00000000,500mE44795N35820
4480250.00000000,3582250.00000000,500mE44800N35820
4480750.00000000,3582250.00000000,500mE44805N35820
4481250.00000000,3582250.00000000,500mE44810N35820
4481750.00000000,3582250.00000000,500mE44815N35820
4482250.00000000,3582250.00000000,500mE44820N35820
4482750.00000000,3582250.00000000,500mE44825N35820
4483250.00000000,3582250.00000000,500mE44830N35820
4483750.00000000,3582250.00000000,500mE44835N35820
4484250.00000000,3582250.00000000,500mE44840N35820
4484750.00000000,3582250.00000000,500mE44845N35820
4485250.00000000,3582250.00000000,500mE44850N35820
4485750.00000000,3582250.00000000,500mE44855N35820
4486250.00000000,3582250.00000000,500mE44860N35820
4469750.00000000,3582750.00000000,500mE44695N35825
4470250.00000000,3582750.00000000,500mE44700N35825
4470750.00000000,3582750.00000000,500mE44705N35825
4471250.00000000,3582750.00000000,500mE44710N35825
4471750.00000000,3582750.00000000,500mE44715N35825
4472250.00000000,3582750.00000000,500mE44720N35825
4472750.00000000,3582750.00000000,500mE44725N35825
4473250.00000000,3582750.00000000,500mE44730N35825
4473750.00000000,3582750.00000000,500mE44735N35825
4474250.00000000,3582750.00000000,500mE44740N35825
4474750.00000000,3582750.00000000,500mE44745N35825
4475250.00000000,3582750.00000000,500mE44750N35825
4475750.00000000,3582750.00000000,500mE44755N35825
4476250.00000000,3582750.00000000,500mE44760N35825
4476750.00000000,3582750.00000000,500mE44765N35825
4477250.00000000,3582750.00000000,500mE44770N35825
4477750.00000000,3582750.00000000,500mE44775N35825
4478250.00000000,3582750.00000000,500mE44780N35825
4478750.00000000,3582750.00000000,500mE44785N35825
4479250.00000000,3582750.00000000,500mE44790N35825
4479750.00000000,3582750.00000000,500mE44795N35825
4480250.00000000,3582750.00000000,500mE44800N35825
4480750.00000000,3582750.00000000,500mE44805N35825
4481250.00000000,3582750.00000000,500mE44810N35825
4481750.00000000,3582750.00000000,500mE44815N35825
4482250.00000000,3582750.00000000,500mE44820N35825
4482750.00000000,3582750.00000000,500mE44825N35825
4483250.00000000,3582750.00000000,500mE44830N35825
4483750.00000000,3582750.00000000,500mE44835N35825
4484250.00000000,3582750.00000000,500mE44840N35825
4484750.00000000,3582750.00000000,500mE44845N35825
4485250.00000000,3582750.00000000,500mE44850N35825
4485750.00000000,3582750.00000000,500mE44855N35825
4486250.00000000,3582750.00000000,500mE44860N35825
4486750.00000000,3582750.00000000,500mE44865N35825
4487250.00000000,3582750.00000000,500mE44870N35825
4487750.00000000,3582750.00000000,500mE44875N35825
4488250.00000000,3582750.00000000,500mE44880N35825
4488750.00000000,3582750.00000000,500mE44885N35825
4489250.00000000,3582750.00000000,500mE44890N35825
4469750.00000000,3583250.00000000,500mE44695N35830
4470250.00000000,3583250.00000000,500mE44700N35830
4470750.00000000,3583250.00000000,500mE44705N35830
4471250.00000000,3583250.00000000,500mE44710N35830
4471750.00000000,3583250.00000000,500mE44715N35830
4472250.00000000,3583250.00000000,500mE44720N35830
