XCoord,YCoord,layer
4488750,3690250,1
4489250,3690250,1
4489750,3690250,1
4490250,3690250,1
4490750,3690250,1
4491250,3690250,1
4491750,3690250,1
4492250,3690250,1
4492750,3690250,0.136885426304597
4493250,3690250,0
4493750,3690250,0
4494250,3690250,0
4494750,3690250,0
4495250,3690250,0
4495750,3690250,0
4496250,3690250,0
4496750,3690250,0
4497250,3690250,0
4497750,3690250,0
4498250,3690250,0
4498750,3690250,0
4499250,3690250,0
4499750,3690250,0
4500250,3690250,0
4500750,3690250,0
4501250,3690250,0
4501750,3690250,0
4502250,3690250,0
4502750,3690250,0
4503250,3690250,0
4503750,3690250,0
4504250,3690250,0
4504750,3690250,0
4505250,3690250,0
4505750,3690250,0
4506250,3690250,0
4506750,3690250,0
4507250,3690250,0
4507750,3690250,0
4508250,3690250,0
4508750,3690250,0
4509250,3690250,0
4509750,3690250,0
4510250,3690250,0
4510750,3690250,0
4511250,3690250,0
4511750,3690250,0
4512250,3690250,0
4512750,3690250,0
4513250,3690250,0
4513750,3690250,0
4459750,3689750,0
4460250,3689750,0
4460750,3689750,0
4461250,3689750,0
4461750,3689750,0
4462250,3689750,0
4462750,3689750,0
4463250,3689750,0
4463750,3689750,0
4464250,3689750,0
4464750,3689750,0
4465250,3689750,0
4465750,3689750,0
4466250,3689750,0
4466750,3689750,0
4467250,3689750,0
4467750,3689750,0
4468250,3689750,0
4468750,3689750,0
4469250,3689750,0
4469750,3689750,0
4470250,3689750,0
4470750,3689750,0
4471250,3689750,0
4471750,3689750,0
4472250,3689750,0
4472750,3689750,0
4473250,3689750,0
4473750,3689750,0
4474250,3689750,0
4474750,3689750,0
4475250,3689750,0
4475750,3689750,0
4476250,3689750,0
4476750,3689750,0
4477250,3689750,0
4477750,3689750,0
4478250,3689750,0
4478750,3689750,0
4479250,3689750,0
4479750,3689750,0
4480250,3689750,0
4480750,3689750,0
4481250,3689750,0
4481750,3689750,1
4482250,3689750,1
4482750,3689750,1
4483250,3689750,1
4483750,3689750,1
4484250,3689750,1
4484750,3689750,1
4485250,3689750,1
4485750,3689750,1
4486250,3689750,1
4486750,3689750,1
4487250,3689750,1
4487750,3689750,1
4488250,3689750,1
4488750,3689750,1
4489250,3689750,1
4489750,3689750,1
4490250,3689750,1
4490750,3689750,1
4491250,3689750,1
4491750,3689750,1
4492250,3689750,1
4492750,3689750,1
4493250,3689750,0.11875316098302
4493750,3689750,0
4494250,3689750,0
4494750,3689750,0
4495250,3689750,0
4495750,3689750,0
4496250,3689750,0
4496750,3689750,0
4497250,3689750,0
4497750,3689750,0
4498250,3689750,0
4498750,3689750,0
4499250,3689750,0
4499750,3689750,0
4500250,3689750,0
4500750,3689750,0
4501250,3689750,0
4501750,3689750,0
4502250,3689750,0
4502750,3689750,0
4503250,3689750,0
4503750,3689750,0
4504250,3689750,0
4504750,3689750,0
4505250,3689750,0
4505750,3689750,0
4506250,3689750,0
4506750,3689750,0
4507250,3689750,0
4507750,3689750,0
4508250,3689750,0
4508750,3689750,0
4509250,3689750,0
4509750,3689750,0
4510250,3689750,0
4510750,3689750,0
4511250,3689750,0
4511750,3689750,0
4512250,3689750,0
4512750,3689750,0
4513250,3689750,0
4513750,3689750,0
4459750,3689250,0
4460250,3689250,0
4460750,3689250,0
4461250,3689250,0
4461750,3689250,0
4462250,3689250,0
4462750,3689250,0
4463250,3689250,0
4463750,3689250,0
4464250,3689250,0
4464750,3689250,0
4465250,3689250,0
4465750,3689250,0
4466250,3689250,0
4466750,3689250,0
4467250,3689250,0
4467750,3689250,0
4468250,3689250,0
4468750,3689250,0
4469250,3689250,0.602105011046458
4469750,3689250,0.652654173892499
4470250,3689250,0.652654173892499
4470750,3689250,0.652654173892499
4471250,3689250,0.652654173892499
4471750,3689250,0.652654173892499
4472250,3689250,0.102534899143242
4472750,3689250,0
4473250,3689250,0
4473750,3689250,0
4474250,3689250,0
4474750,3689250,0
4475250,3689250,0
4475750,3689250,0
4476250,3689250,0
4476750,3689250,0
4477250,3689250,0
4477750,3689250,0
4478250,3689250,0
4478750,3689250,0
4479250,3689250,0
4479750,3689250,0
4480250,3689250,0
4480750,3689250,0
4481250,3689250,0
4481750,3689250,0.0906616273931871
4482250,3689250,1
4482750,3689250,1
4483250,3689250,1
4483750,3689250,1
4484250,3689250,1
4484750,3689250,1
4485250,3689250,1
4485750,3689250,1
4486250,3689250,1
4486750,3689250,1
4487250,3689250,1
4487750,3689250,1
4488250,3689250,1
4488750,3689250,1
4489250,3689250,1
4489750,3689250,1
4490250,3689250,1
4490750,3689250,1
4491250,3689250,1
4491750,3689250,1
4492250,3689250,1
4492750,3689250,1
4493250,3689250,0.900893249604133
4493750,3689250,0
4494250,3689250,0
4494750,3689250,0
4495250,3689250,0
4495750,3689250,0
4496250,3689250,0
4496750,3689250,0
4497250,3689250,0
4497750,3689250,0
4498250,3689250,0
4498750,3689250,0
4499250,3689250,0
4499750,3689250,0
4500250,3689250,0
4500750,3689250,0
4501250,3689250,0
4501750,3689250,0
4502250,3689250,0
4502750,3689250,0
4503250,3689250,0
4503750,3689250,0
4504250,3689250,0
4504750,3689250,0
4505250,3689250,0
4505750,3689250,0
4506250,3689250,0
4506750,3689250,0
4507250,3689250,0
4507750,3689250,0
4508250,3689250,0
4508750,3689250,0
4509250,3689250,0
4509750,3689250,0
4510250,3689250,0
4510750,3689250,0
4511250,3689250,0
4511750,3689250,0
4512250,3689250,0
4512750,3689250,0
4513250,3689250,0
4513750,3689250,0
4459750,3688750,0
4460250,3688750,0
4460750,3688750,0
4461250,3688750,0
4461750,3688750,0
4462250,3688750,0
4462750,3688750,0
4463250,3688750,0
4463750,3688750,0
4464250,3688750,0
4464750,3688750,0
4465250,3688750,0
4465750,3688750,0
4466250,3688750,0.000306273958492194
4466750,3688750,0.139144279189608
4467250,3688750,1
4467750,3688750,1
4468250,3688750,1
4468750,3688750,1
4469250,3688750,1
4469750,3688750,1
4470250,3688750,1
4470750,3688750,1
4471250,3688750,1
4471750,3688750,1
4472250,3688750,1
4472750,3688750,1
4473250,3688750,1
4473750,3688750,0
4474250,3688750,0
4474750,3688750,0
4475250,3688750,0
4475750,3688750,0
4476250,3688750,0
4476750,3688750,0
4477250,3688750,0
4477750,3688750,0
4478250,3688750,0
4478750,3688750,0
4479250,3688750,0
4479750,3688750,0
4480250,3688750,0
4480750,3688750,0
4481250,3688750,0
4481750,3688750,0
4482250,3688750,0.941195701819678
4482750,3688750,1
4483250,3688750,1
4483750,3688750,1
4484250,3688750,1
4484750,3688750,1
4485250,3688750,1
4485750,3688750,1
4486250,3688750,1
4486750,3688750,1
4487250,3688750,1
4487750,3688750,1
4488250,3688750,1
4488750,3688750,1
4489250,3688750,1
4489750,3688750,1
4490250,3688750,1
4490750,3688750,1
4491250,3688750,1
4491750,3688750,1
4492250,3688750,1
4492750,3688750,1
4493250,3688750,1
4493750,3688750,0
4494250,3688750,0
4494750,3688750,0
4495250,3688750,0
4495750,3688750,0
4496250,3688750,0
4496750,3688750,0
4497250,3688750,0
4497750,3688750,0
4498250,3688750,0
4498750,3688750,0
4499250,3688750,0
4499750,3688750,0
4500250,3688750,0
4500750,3688750,0
4501250,3688750,0
4501750,3688750,0
4502250,3688750,0
4502750,3688750,0
4503250,3688750,0
4503750,3688750,0
4504250,3688750,0
4504750,3688750,0
4505250,3688750,0
4505750,3688750,0
4506250,3688750,0
4506750,3688750,0
4507250,3688750,0
4507750,3688750,0
4508250,3688750,0
4508750,3688750,0
4509250,3688750,0
4509750,3688750,0
4510250,3688750,0
4510750,3688750,0
4511250,3688750,0
4511750,3688750,0
4512250,3688750,0
4512750,3688750,0
4513250,3688750,0
4513750,3688750,0
4459750,3688250,0
4460250,3688250,0
4460750,3688250,0
4461250,3688250,0
4461750,3688250,0
4462250,3688250,0
4462750,3688250,0
4463250,3688250,0
4463750,3688250,0
4464250,3688250,0
4464750,3688250,0
4465250,3688250,0.625634384485913
4465750,3688250,0.818611096400445
4466250,3688250,1
4466750,3688250,1
4467250,3688250,1
4467750,3688250,1
4468250,3688250,1
4468750,3688250,1
4469250,3688250,1
4469750,3688250,1
4470250,3688250,1
4470750,3688250,1
4471250,3688250,1
4471750,3688250,1
4472250,3688250,1
4472750,3688250,1
4473250,3688250,1
4473750,3688250,1
4474250,3688250,0.131512325160087
4474750,3688250,0
4475250,3688250,0
4475750,3688250,0
4476250,3688250,0
4476750,3688250,0
4477250,3688250,0
4477750,3688250,0
4478250,3688250,0
